Acc	GenBank	Genus	Species	Host
HPV83_Human_Papillomavirus_83	AF151983  Alphapapillomavirus	HPV83_Human_Papillomavirus_83 (Alphapapillomavirus) 	Primates
HPV84_Human_Papillomavirus_84	AF293960	Alphapapillomavirus	HPV84_Human_Papillomavirus_84 (Alphapapillomavirus) 	Primates
HPV86_Human_Papillomavirus_86	AF349909	Alphapapillomavirus	HPV86_Human_Papillomavirus_86 (Alphapapillomavirus) 	Primates
HPV89_Human_Papillomavirus_89	AF436128	Alphapapillomavirus	HPV89_Human_Papillomavirus_89 (Alphapapillomavirus) 	Primates
HPV74_Human_Papillomavirus_74	AF436130	Alphapapillomavirus	HPV74_Human_Papillomavirus_74 (Alphapapillomavirus) 	Primates
MfPV7_Macaca_fascicularis_papillomavirus_7	EF558838	Alphapapillomavirus	MfPV7_Macaca_fascicularis_papillomavirus_7 (Alphapapillomavirus) 	Primates
MfPV3_Macaca_fascicularis_papillomavirus_3	EF558839	Alphapapillomavirus	MfPV3_Macaca_fascicularis_papillomavirus_3 (Alphapapillomavirus) 	Primates
MfPV6_Macaca_fascicularis_papillomavirus_6	EF558840	Alphapapillomavirus	MfPV6_Macaca_fascicularis_papillomavirus_6 (Alphapapillomavirus) 	Primates
MfPV4_Macaca_fascicularis_papillomavirus_4	EF558841	Alphapapillomavirus	MfPV4_Macaca_fascicularis_papillomavirus_4 (Alphapapillomavirus) 	Primates
MfPV8_Macaca_fascicularis_papillomavirus_8	EF558842	Alphapapillomavirus	MfPV8_Macaca_fascicularis_papillomavirus_8 (Alphapapillomavirus) 	Primates
MfPV5_Macaca_fascicularis_papillomavirus_5	EF558843	Alphapapillomavirus	MfPV5_Macaca_fascicularis_papillomavirus_5 (Alphapapillomavirus) 	Primates
MmPV2_Macaca_mulata_papillomavirus_2	MG837557	Alphapapillomavirus	MmPV2_Macaca_mulata_papillomavirus_2 (Alphapapillomavirus) 	Primates
MmPV3_Macaca_mulata_papillomavirus_3	MG837558	Alphapapillomavirus	MmPV3_Macaca_mulata_papillomavirus_3 (Alphapapillomavirus) 	Primates
MfuPV2_Macaca_fuscata_papillomavirus_2	MH469677	Alphapapillomavirus	MfuPV2_Macaca_fuscata_papillomavirus_2 (Alphapapillomavirus) 	Primates
MmPV6_Macaca_mulata_papillomavirus_6	MH745748	Alphapapillomavirus	MmPV6_Macaca_mulata_papillomavirus_6 (Alphapapillomavirus) 	Primates
MfPV10_Macaca_fascicularis_papillomavirus_10	EU490515	Alphapapillomavirus	MfPV10_Macaca_fascicularis_papillomavirus_10 (Alphapapillomavirus) 	Primates
HPV90_Human_Papillomavirus_90	AY057438	Alphapapillomavirus	HPV90_Human_Papillomavirus_90 (Alphapapillomavirus) 	Primates
HPV62_Human_Papillomavirus_62	AY395706	Alphapapillomavirus	HPV62_Human_Papillomavirus_62 (Alphapapillomavirus) 	Primates
HPV125_Human_Papillomavirus_125	FN547152	Alphapapillomavirus	HPV125_Human_Papillomavirus_125 (Alphapapillomavirus) 	Primates
MfPV9_Macaca_fascicularis_papillomavirus_9	EU490516	Alphapapillomavirus	MfPV9_Macaca_fascicularis_papillomavirus_9 (Alphapapillomavirus) 	Primates
PhPV1_Papio_hamadryas_papillomavirus_1	JF304764	Alphapapillomavirus	PhPV1_Papio_hamadryas_papillomavirus_1 (Alphapapillomavirus) 	Primates
HPV68_Human_Papillomavirus_68	DQ080079	Alphapapillomavirus	HPV68_Human_Papillomavirus_68 (Alphapapillomavirus) 	Primates
HPV97_Human_Papillomavirus_97	DQ080080	Alphapapillomavirus	HPV97_Human_Papillomavirus_97 (Alphapapillomavirus) 	Primates
MfPV11_Macaca_fascicularis_papillomavirus_11	GQ227670	Alphapapillomavirus	MfPV11_Macaca_fascicularis_papillomavirus_11 (Alphapapillomavirus) 	Primates
HPV177_Human_Papillomavirus_177	KR816168	Alphapapillomavirus	HPV177_Human_Papillomavirus_177 (Alphapapillomavirus) 	Primates
MfuPV1_Macaca_fuscata_papillomavirus_1	KT944080	Alphapapillomavirus	MfuPV1_Macaca_fuscata_papillomavirus_1 (Alphapapillomavirus) 	Primates
HPV102_Human_Papillomavirus_102	DQ080083	Alphapapillomavirus	HPV102_Human_Papillomavirus_102 (Alphapapillomavirus) 	Primates
HPV85_Human_Papillomavirus_85	AF131950	Alphapapillomavirus	HPV85_Human_Papillomavirus_85 (Alphapapillomavirus) 	Primates
HPV42_Human_Papillomavirus_42	M73236	Alphapapillomavirus	HPV42_Human_Papillomavirus_42 (Alphapapillomavirus) 	Primates
HPV18_Human_Papillomavirus_18	X05015	Alphapapillomavirus	HPV18_Human_Papillomavirus_18 (Alphapapillomavirus) 	Primates
HPV70_Human_Papillomavirus_70	U21941	Alphapapillomavirus	HPV70_Human_Papillomavirus_70 (Alphapapillomavirus) 	Primates
HPV3_Human_Papillomavirus_3	X74462	Alphapapillomavirus	HPV3_Human_Papillomavirus_3 (Alphapapillomavirus) 	Primates
HPV59_Human_Papillomavirus_59	X77858	Alphapapillomavirus	HPV59_Human_Papillomavirus_59 (Alphapapillomavirus) 	Primates
HPV27_Human_Papillomavirus_27	X74473	Alphapapillomavirus	HPV27_Human_Papillomavirus_27 (Alphapapillomavirus) 	Primates
HPV81_Human_Papillomavirus_81	AJ620209	Alphapapillomavirus	HPV81_Human_Papillomavirus_81 (Alphapapillomavirus) 	Primates
HPV71_Human_Papillomavirus_71	AB040456	Alphapapillomavirus	HPV71_Human_Papillomavirus_71 (Alphapapillomavirus) 	Primates
MmPV1_Macaca_mulata_papillomavirus_1	M60184	Alphapapillomavirus	MmPV1_Macaca_mulata_papillomavirus_1 (Alphapapillomavirus) 	Primates
HPV35_Human_Papillomavirus_35	X74477	Alphapapillomavirus	HPV35_Human_Papillomavirus_35 (Alphapapillomavirus) 	Primates
HPV94_Human_Papillomavirus_94	AJ620211	Alphapapillomavirus	HPV94_Human_Papillomavirus_94 (Alphapapillomavirus) 	Primates
HPV51_Human_Papillomavirus_51	M62877	Alphapapillomavirus	HPV51_Human_Papillomavirus_51 (Alphapapillomavirus) 	Primates
HPV26_Human_Papillomavirus_26	X74472	Alphapapillomavirus	HPV26_Human_Papillomavirus_26 (Alphapapillomavirus) 	Primates
HPV87_Human_Papillomavirus_87	AJ400628	Alphapapillomavirus	HPV87_Human_Papillomavirus_87 (Alphapapillomavirus) 	Primates
HPV32_Human_Papillomavirus_32	X74475	Alphapapillomavirus	HPV32_Human_Papillomavirus_32 (Alphapapillomavirus) 	Primates
HPV34_Human_Papillomavirus_34	X74476	Alphapapillomavirus	HPV34_Human_Papillomavirus_34 (Alphapapillomavirus) 	Primates
HPV73_Human_Papillomavirus_73	X94165	Alphapapillomavirus	HPV73_Human_Papillomavirus_73 (Alphapapillomavirus) 	Primates
HPV67_Human_Papillomavirus_67	D21208	Alphapapillomavirus	HPV67_Human_Papillomavirus_67 (Alphapapillomavirus) 	Primates
